lemmas_inflected	orig_inflected
et	et
adulterii	adulterii
facinorae	facinorae
natan	Natan
propheta	propheta
arguente	arguente
de	de
solio	solio
regni	regni
non	non
erubuit	erubuit
coram	coram
omni	omni
multitudine	multitudine
faciem	faciem
suam	suam
darae	darae
in	in
pulverem	pulverem
et	et
pariter	pariter
erupit	erupit
in	in
vocem	vocem
amatissime	amatissime
penitenciae	penitenciae
dicens	dicens
peccavi	Peccavi
domine	Domine
peccavi	peccavi
et	et
dominus	Dominus
per	per
prophetam	prophetam
dixit	dixit
ei	ei
remissum	Remissum
est	est
peccatum	peccatum
tuum	tuum
ecce	Ecce
quantum	quantum
valet	valet
humilitas	humilitas
quantum	quantum
obtinet	obtinet
caritas	caritas
quia	quia
etsi	etsi
sunt	sunt
dura	dura
peccata	peccata
nostra	nostra
apostolo	apostolo
dicente	dicente
velut	velut
stipula	stipula
fenum	fenum
ligna	ligna
si	si
abundaverimus	abundaverimus
igni	igni
amoris	amoris
dei	Dei
possumus	possumus
cicius	cicius
exurire	exurire
onera	onera
peccati	peccati
et	Et
in	in
eorum	eorum
locis	locis
super	super
fundamentum	fundamentum
fidei	fidei
qui	qui
est	est
christus	Christus
edificemus	edificemus
aurum	aurum
argentum	argentum
et	et
lapides	lapides
praeciosos	praeciosos
ut	ut
possimus	possimus
in	in
ornamentum	ornamentum
regis	regis
aeterni	aeterni
redemptoris	redemptoris
nostri	nostri
inter	inter
vivos	vivos
lapides	lapides
conputari	conputari
ut	ut
dicat	dicat
apostolus	apostolus
nobis	nobis
fuit	Fuit
aliquando	aliquando
tenebrae	tenebrae
nunc	nunc
autem	autem
lux	lux
in	in
domino	Domino
et	et
iterum	iterum
ubi	Ubi
abundavit	abundavit
peccatum	peccatum
superhabundavit	superhabundavit
et	et
gratia	gratia
sic	Sic
tamen	tamen
ut	ut
eundem	eundem
apostolum	apostolum
paulum	Paulum
in	in
omnibus	omnibus
audiamus	audiamus
et	et
sua	sua
consilia	consilia
quia	quia
spiritum	spiritum
dei	Dei
habet	habet
integrae	integrae
custodiamus	custodiamus
dicit	Dicit
ipse	ipse
in	in
epistola	epistola
ad	ad
romanus	Romanus
sicut	Sicut
enim	enim
exibuistis	exibuistis
membra	membra
vestra	vestra
servirae	servirae
inmundiciae	inmundiciae
et	et
iniquitati	iniquitati
ad	ad
iniquitatem	iniquitatem
ita	ita
nunc	nunc
exibete	exibete
membra	membra
vestra	vestra
servirae	servirae
iusticiae	iusticiae
in	in
sanctificationem	sanctificationem
verbi	Verbi
gracia	gracia
qui	Qui
vigilias	vigilias
multas	multas
dedit	dedit
occultas	occultas
et	et
obnoxias	obnoxias
in	in
luxuria	luxoria
multiplicet	multiplicet
corpus	corpus
suum	suum
eodem	eodem
modo	modo
excitari	excitari
de	de
somno	somno
levare	levare
et	et
in	in
angulos	angulos
ecclesiae	ecclesiae
vel	vel
monasterii	monasterii
occulte	occulte
in	in
orationibus	orationibus
fatigare	fatigare
adfligere	adfligere
ut	ut
dolores	dolores
quos	quos
memorat	memorat
quantos	quantos
et	et
quales	quales
sustenuit	sustenuit
pro	pro
amorae	amorae
carnali	carnali
secundum	secundum
pauli	Pauli
apostoli	apostoli
mandatum	mandatum
eosdem	eosdem
sustineat	sustineat
pro	pro
amore	amore
spiritali	spiritali
ut	ut
non	non
minus	minus
sit	sit
corpus	corpus
vigiliis	vigiliis
sanctis	sanctis
languidum	languidum
que	que
fuit	fuit
in	in
flagiciis	flagiciis
diversis	diversis
adinventionibus	adinventionibus
detortis	detortis
membrorum	membrorum
nexibus	nexibus
inhoneste	inhoneste
depraessum	depraessum
et	et
ob	ob
hoc	hoc
male	male
defessum	defessum
